"Raison Sociale",SIREN,Année,Note,Structure,"Nom UES","Entreprises UES (SIREN)",Région,Département
"ASSOCIATION HOPITAL FOCH",408457299,2019,77/85,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"ASSOCIATION HOSPITALIERE SAINTE MARIE",775633308,2019,64/65,Entreprise,"","",Auvergne-Rhône-Alpes,Puy-de-Dôme
"Association Loi 1901 non reconnue d'utilité publique",775643257,2019,84/100,Entreprise,"","",Auvergne-Rhône-Alpes,Rhône
"Association Monsieur vincent",785668237,2019,49/50,Entreprise,"","",Ile-de-France,Paris
"Assurances du Credit Mutuel GIE",440536555,2019,98/100,Entreprise,"","","Grand Est",Bas-Rhin
"ASSYSTEM ENGINEERING AND OPERATION SERVICES",444159164,2019,87/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"AUBAY SA",391504693,2019,94/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"AUCHAN HYPERMARCHE",410409460,2019,89/100,"Unité Economique et Sociale (UES)","AUCHAN RETAIL EXPLOITATION","AUCHAN SUPERMARCHE (410409015), AMV DISTRIBUTION (453795098), MY AUCHAN (444410773), SAFIPAR (444409551), JUPERIC (379531122)",Hauts-de-France,Nord
"AUCHAN RETAIL LOGISTIQUE",832235402,2019,89/100,Entreprise,"","",Hauts-de-France,Nord
"AUCHAN RETAIL SERVICES",831888318,2019,91/100,"Unité Economique et Sociale (UES)","AUCHAN RETAIL SERVICES","AUCHAN RETAIL AGRO (312668692)",Hauts-de-France,Nord
"AUSY SAS",352905707,2019,74/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"Autoroutes du Sud de la France",572139996,2019,93/100,Entreprise,"","","Provence-Alpes-Côte d'Azur",Vaucluse
AVEM,330447236,2019,87/100,Entreprise,"","",Bretagne,Ille-et-Vilaine
"Avis Location de voiture",652023961,2019,93/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"AXA FRANCE IARD",722057460,2019,92/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"AXA GROUP OPERATIONS SAS",399214287,2019,94/100,"Unité Economique et Sociale (UES)","AXA GROUP OPERATIONS","GIE AXA GROUP OPERATIONS (351151196)",Ile-de-France,Paris
"AXIMA Concept",854800745,2019,88/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
AXIMUM,582081782,2019,65/85,Entreprise,"","",Ile-de-France,Yvelines
AXIONE,449586544,2019,84/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
AZUREVA,322958885,2019,94/100,Entreprise,"","",Auvergne-Rhône-Alpes,Ain
"Aéroports de Paris",552016628,2019,89/100,Entreprise,"","",Ile-de-France,Seine-Saint-Denis
"B. BRAUN MEDICAL",562050856,2019,89/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"banque CIC NORD OUEST",455502096,2019,88/100,Entreprise,"","",Hauts-de-France,Nord
"BANQUE DE FRANCE",572104891,2019,92/100,Entreprise,"","",Ile-de-France,Paris
"BANQUE POPULAIRE ALSACE LORRAINE CHAMPAGNE",356801571,2019,94/100,Entreprise,"","","Grand Est",Moselle
"BANQUE POPULAIRE AQUITAINE CENTRE ATLANTIQUE",755501590,2019,87/100,Entreprise,"","",Nouvelle-Aquitaine,Gironde
"Banque Populaire Auvergne Rhône-Alpes",605520071,2019,94/100,Entreprise,"","",Auvergne-Rhône-Alpes,Rhône
"BANQUE POPULAIRE DU NORD",457506566,2019,98/100,Entreprise,"","",Hauts-de-France,Nord
"BANQUE POPULAIRE DU SUD",554200808,2019,87/100,Entreprise,"","",Occitanie,Pyrénées-Orientales
"BANQUE POPULAIRE GRAND OUEST",857500227,2019,93/100,Entreprise,"","",Bretagne,Ille-et-Vilaine
"BANQUE POPULAIRE MEDITERRANEE",58801481,2019,100/100,Entreprise,"","","Provence-Alpes-Côte d'Azur",Alpes-Maritimes
"BANQUE POPULAIRE OCCITANE",560801300,2019,94/100,Entreprise,"","",Occitanie,Haute-Garonne
"BASF FRANCE SAS",542069158,2019,85/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"BCA EXPERTISE",489139436,2019,88/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"BDR THERMEA FRANCE",833457211,2019,93/100,Entreprise,"","","Grand Est",Bas-Rhin
"BONDUELLE EUROPE LONG LIFE (BELL)",665580072,2019,78/100,"Unité Economique et Sociale (UES)","BELL SOLEAL","SUD OUEST LEGUMES ALLIANCE (SOLEAL) (352468292)",Hauts-de-France,Nord
"Bergerat Monnoyeur",380231316,2019,64/100,Entreprise,"","",Ile-de-France,Seine-Saint-Denis
"BERTRANDT SAS",422868851,2019,88/100,"Unité Economique et Sociale (UES)","BERTRANDT FRANCE","BERTRANDT FRANCE SAS (329186704)",Ile-de-France,Yvelines
"BHV EXPLOITATION",572232650,2019,100/100,Entreprise,"","",Ile-de-France,Paris
"Bio-Rad Services France",789947306,2019,93/100,"Unité Economique et Sociale (UES)",Bio-Rad,"Bio-Rad (789947322), Bio-Rad France (449990712)",Ile-de-France,Hauts-de-Seine
Biocoop,382891752,2019,84/100,Entreprise,"","",Ile-de-France,Paris
"bioMérieux S.A",673620399,2019,88/100,Entreprise,"","",Auvergne-Rhône-Alpes,Rhône
Bledina,301374922,2019,88/100,Entreprise,"","",Auvergne-Rhône-Alpes,Rhône
BMSO,778115824,2019,88/100,Entreprise,"","",Nouvelle-Aquitaine,Gironde
"BNP PARIBAS LEASE GROUP",632017513,2019,89/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"BNP PARIBAS PERSONAL FINANCE",542097902,2019,88/100,"Unité Economique et Sociale (UES)","BNP Paribas PF","NEUILLY CONTENTIEUX (340103167), COFICABAIL (399181924)",Ile-de-France,Paris
"BNP PARIBAS SA",662042449,2019,87/100,Entreprise,"","",Ile-de-France,Paris
BOIRON,967504697,2019,89/100,Entreprise,"","",Auvergne-Rhône-Alpes,Rhône
"Bollore Logistics",552088536,2019,85/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"BOMBARDIER TRANSPORT FRANCE",698800935,2019,88/100,Entreprise,"","",Hauts-de-France,Nord
"Les serres du salève",310473178,2019,84/100,"Unité Economique et Sociale (UES)",BOTANIC,"",Auvergne-Rhône-Alpes,Haute-Savoie
"BOUYGUES BATIMENT GRAND OUEST",321006892,2019,79/100,"Unité Economique et Sociale (UES)","BOUYGUES BATIMENT GRAND OUEST ET LINKCITY GRAND OUEST","LINKCITY GRAND OUEST (328703624)","Pays de la Loire",Loire-Atlantique
"BOUYGUES BATIMENT ILE DE FRANCE SAS",433900834,2019,80/100,Entreprise,"","",Ile-de-France,Yvelines
"Bouygues Energies & Services",775664873,2019,77/100,Entreprise,"","",Ile-de-France,Yvelines
"Bouygues Energies & Services FM",381762038,2019,84/100,Entreprise,"","",Ile-de-France,Yvelines
"BOUYGUES IMMOBILIER",562091546,2019,78/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"BOUYGUES TELECOM",397480930,2019,93/100,Entreprise,"","",Ile-de-France,Paris
"BOUYGUES TRAVAUX PUBLICS",407985308,2019,75/100,Entreprise,"","",Ile-de-France,Yvelines
"BPCE Infogérance et Technologie",812773711,2019,94/100,Entreprise,"","",Ile-de-France,Paris
"BPCE SA",493455042,2019,95/100,Entreprise,"","",Ile-de-France,Paris
"BRETAGNE ANGLETERRE IRLANDE",927250217,2019,97/100,Entreprise,"","",Bretagne,Finistère
"BRICO DEPOT",451647903,2019,88/100,"Unité Economique et Sociale (UES)","BRICO DEPOT et EURO DEPOT IMMOBILIER","EURO DEPOT IMMOBILIER (451645295)",Ile-de-France,Essonne
"BRICORAMA FRANCE SAS",406680314,2019,79/100,Entreprise,BRICORAMA,"",Ile-de-France,Val-de-Marne
BRIDOR,491668893,2019,93/100,Entreprise,"","",Bretagne,Ille-et-Vilaine
"BRIOCHE DOREE",318906591,2019,99/100,"Unité Economique et Sociale (UES)","BRIOCHE DOREE","LA PAUSE BEAUBOURG (344645668), CAFE DE FRANCE (702045519)",Bretagne,Ille-et-Vilaine
"BTP RMS",488411844,2019,81/100,Entreprise,"","",Ile-de-France,Paris
"BUREAU VERITAS CONSTRUCTION",790182786,2019,89/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"BUREAU VERITAS EXPLOITATION",790184675,2019,88/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"BYBLOS GROUP",441699048,2019,59/65,"Unité Economique et Sociale (UES)","BYBLOS GROUP","BYBLOS HUMAN SECURITY (483733747), BYBLOS SECURITY SYSTEMS (442507703), BLUE CONCEPT (447556119), BYBLOS SHINE (399759091), B-GUARD SECURITY (824192768), B-GUARD PROTECTION (824076129)",Auvergne-Rhône-Alpes,Rhône
"C&A France Société en commandite simple",662051275,2019,93/100,Entreprise,"","",Ile-de-France,Paris
"Caise d'Epargne d'Auvergne et du Limousin",382742013,2019,88/100,Entreprise,"","",Auvergne-Rhône-Alpes,Puy-de-Dôme
"CAISSE D EPARGNE CEPAC",775559404,2019,95/100,Entreprise,"","","Provence-Alpes-Côte d'Azur",Bouches-du-Rhône
"CAISSE D EPARGNE LOIRE DROME ARDECHE",383686839,2019,93/100,Entreprise,"","",Auvergne-Rhône-Alpes,Loire
"Caisse d'Allocations Familiales des Bouches-du-Rhône",775558364,2019,94/100,Entreprise,"","","Provence-Alpes-Côte d'Azur",Bouches-du-Rhône
"CAISSE D'ALLOCATIONS FAMILIALES DU NORD",534175179,2019,99/100,Entreprise,"","",Hauts-de-France,Nord
"CAISSE D'EPARGNE AQUITAINE POITOU-CHARENTES",353821028,2019,94/100,Entreprise,"","",Nouvelle-Aquitaine,Gironde
"CAISSE D'EPARGNE COTE D'AZUR",384402871,2019,94/100,Entreprise,"","","Provence-Alpes-Côte d'Azur",Alpes-Maritimes
"Caisse d'Epargne de Midi-Pyrénées",383354594,2019,89/100,Entreprise,"","",Occitanie,Haute-Garonne
"CAISSE D'EPARGNE ET DE PREVOYANCE  ILE-DE-FRANCE",382900942,2019,94/100,Entreprise,"","",Ile-de-France,Paris
"CAISSE D'EPARGNE ET DE PREVOYANCE DE BOURGOGNE FRANCHE-COMTE",352483341,2019,88/100,Entreprise,"","",Bourgogne-Franche-Comté,"Côte-d'or"
"CAISSE D'EPARGNE ET DE PREVOYANCE LOIRE CENTRE",383952470,2019,99/100,Entreprise,"","","Centre-Val de Loire",Loir-et-Cher
"CAISSE D'EPARGNE GRAND EST EUROPE",775618622,2019,93/100,Entreprise,"","","Grand Est",Bas-Rhin
"Caisse d'Epargne Languedoc Roussillon",383451267,2019,87/100,Entreprise,"","",Occitanie,Hérault
"Caisse d'Epargne Normandie",384353413,2019,78/100,Entreprise,"","",Normandie,Seine-Maritime
"CAISSE D'EPARGNE RHONE ALPES (CERA)",384006029,2019,93/100,Entreprise,"","",Auvergne-Rhône-Alpes,Rhône
"Caisse de crédit Mutuel du Sud Est",778147454,2019,86/100,Entreprise,"","",Auvergne-Rhône-Alpes,Rhône
"CAISSE D’EPARGNE ET DE PREVOYANCE BRETAGNE – PAYS DE LOIRE",392640090,2019,83/100,Entreprise,"","","Pays de la Loire",Loire-Atlantique
"Caisse Fédérale du Crédit Mutuel Maine Anjou, Basse Normandie",556650208,2019,88/100,Entreprise,"","","Pays de la Loire",Mayenne
"Caisse Fédérale du Crédit Mutuel Nord Europe",320342264,2019,94/100,Entreprise,"","",Hauts-de-France,Nord
"CAISSE GENERALE DE SECURTITE SOCIALE",314635483,2019,87/100,Entreprise,"","","La Réunion","La Réunion"
"CAISSE NATIONALE D'ASSURANCE RETRAITE",180035032,2019,98/100,Entreprise,"","",Ile-de-France,Paris
"Caisse Primaire Centrale d'Assurance Maladie des Bouches-du-Rhône",782885735,2019,99/100,Entreprise,"","","Provence-Alpes-Côte d'Azur",Bouches-du-Rhône
"Caisse Primaire d'Assurance Maladie de la Haute-Garonne",776950404,2019,98/100,Entreprise,"","",Occitanie,Haute-Garonne
"Caisse Primaire d'Assurance Maladie de Paris",323841353,2019,99/100,Entreprise,"","",Ile-de-France,Paris
"CAISSE REGIONALE CREDIT AGRICOLE CHARENTE PERIGORD",775569726,2019,87/100,Entreprise,"","",Nouvelle-Aquitaine,Charente
"CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL DE NORMANDIE-SEINE",433786738,2019,91/100,Entreprise,"","",Normandie,Seine-Maritime
"CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL DU FINISTERE",778134601,2019,89/100,Entreprise,"","",Bretagne,Finistère
"CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL NORD DE FRANCE",440676559,2019,88/100,Entreprise,"","",Hauts-de-France,Nord
"CAISSE REGIONALE DE CREDIT AGRICOLE MUTUEL PROVENCE COTE D'AZUR",415176072,2019,89/100,Entreprise,"","","Provence-Alpes-Côte d'Azur",Var
"CAISSE REGIONALE DE CREDIT AGRICOLE MUTULE DE NORMANDIE",478834930,2019,87/100,Entreprise,"","",Normandie,Calvados
"CAISSE RÉGIONALE DE CRÉDIT AGRICOLE MUTUEL D'AQUITAINE",434651246,2019,88/100,Entreprise,"","",Nouvelle-Aquitaine,Gironde
"Caisse Régionale Crédit Agricole Mutuel de Lorraine",775616162,2019,86/100,Entreprise,"","","Grand Est",Moselle
"Caisse Régionale d'Assurance Maladie d'Ile-de-France",775694730,2019,99/100,Entreprise,"","",Ile-de-France,Paris
"Caisse Régionale d'Assurances Mutuelles Agricoles",379834906,2019,90/100,Entreprise,"","",Occitanie,Hérault
"Caisse Régionale d'Assurances Mutuelles Agricoles de Bretagne et des Pays de la Loire",820131035,2019,84/100,Entreprise,"","",Bretagne,Ille-et-Vilaine
"Caisse Régionale de Crédit Agricole du Languedoc",492826417,2019,89/100,Entreprise,"","",Occitanie,Hérault
"Caisse Régionale de Crédit Agricole Mutuel Brie Picardie",487625436,2019,91/100,Entreprise,"","",Hauts-de-France,Somme
"Caisse Régionale de Crédit Agricole Mutuel Centre Loire",398824714,2019,93/100,Entreprise,"","","Centre-Val de Loire",Cher
"Caisse Régionale de Crédit Agricole mutuel des Côtes d'Armor",777456179,2019,88/100,Entreprise,"","",Bretagne,"Côtes-d'armor"
"Caisse Régionale de Crédit Agricole Mutuel Nord Midi Pyrénées",444953830,2019,94/100,Entreprise,"","",Occitanie,Tarn
"caisse régionale du crédit agricole mutuel centre est",399973825,2019,97/100,Entreprise,"","",Auvergne-Rhône-Alpes,Rhône
"Caisse Régionale Mutuel de Crédit Agricole Franche Comté",384899399,2019,98/100,Entreprise,"","",Bourgogne-Franche-Comté,Doubs
"Candia SASU",352014955,2019,93/100,Entreprise,"","",Ile-de-France,Paris
"Canon France",738205269,2019,87/100,Entreprise,"","",Ile-de-France,Paris
"CARGLASS S.A.S",425050556,2019,94/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"CAROLL INTERNATIONAL",582001707,2019,80/100,Entreprise,"","",Ile-de-France,Paris
"CARREFOUR BANQUE",313811515,2019,81/100,Entreprise,"","",Ile-de-France,Essonne
"CARREFOUR HYPERMARCHES",451321335,2019,89/100,Entreprise,"","",Ile-de-France,Essonne
"CARREFOUR PROXIMITE FRANCE",345130488,2019,76/100,Entreprise,"","",Normandie,Calvados
"CARREFOUR SUPPLY CHAIN",428240287,2019,94/100,Entreprise,"","",Normandie,Calvados
"CARRIER SCS",483018370,2019,86/100,Entreprise,"","",Auvergne-Rhône-Alpes,Ain
"CARSAT HAUTS DE FRANCE",775624562,2019,92/100,Entreprise,"","",Hauts-de-France,Nord
"CARSAT Rhône-Alpes",775648231,2019,97/100,Entreprise,"","",Auvergne-Rhône-Alpes,Rhône
